Name;Type;StartPointX;StartPointY;StartDirection;StartRadius;EndRadius;Length;Type
H1;IfcAlignmentHorizontalSegment;145685,855172;6591370,14247;3,81786017386422;0;0;47,36403;LINE
H2;IfcAlignmentHorizontalSegment;145648,91529;6591340,497969;3,81786015919453;0;0;84,45946;CLOTHOID
H3;IfcAlignmentHorizontalSegment;145587,393864;6591282,917242;4,04612898397448;185;185;137,211623;CIRCULARARC
H4;IfcAlignmentHorizontalSegment;145548,355486;6591154,637666;4,78781344986031;185;185;59,594595;CLOTHOID
H5;IfcAlignmentHorizontalSegment;145559,177136;6591096,103693;4,94887976098661;0;0;55,65383;CLOTHOID
H6;IfcAlignmentHorizontalSegment;145569,732915;6591041,507035;4,81233958697448;-203,799988;-203,799988;25,757113;CIRCULARARC
H7;IfcAlignmentHorizontalSegment;145570,678864;6591015,784448;4,68595602013852;-203,799988;-203,799988;125,614636;CLOTHOID
H8;IfcAlignmentHorizontalSegment;145541,922395;6590894,049604;4,37777593581732;0;0;118,881381;CLOTHOID
H9;IfcAlignmentHorizontalSegment;145505,510693;6590780,90873;4,44754181497448;851,999999;851,999999;2,84745;CIRCULARARC
