Name;Type;StartPointX;StartPointY;StartDirection;StartRadius;EndRadius;Length;Type
H1;IfcAlignmentHorizontalSegment;1304,07852900028;2487,61134800036;4,20762061801923;0;0;1091,152467;LINE
H2;IfcAlignmentHorizontalSegment;776,392062999308;1532,54030399956;4,20762061765005;0;1518;80;CLOTHOID
H3;IfcAlignmentHorizontalSegment;738,32138799876;1462,18244200014;4,2336965945882;1518;1518;513,309402;CIRCULARARC
H4;IfcAlignmentHorizontalSegment;582,796257998794;975,564171000384;4,57211956418431;1518;0;80;CLOTHOID
H5;IfcAlignmentHorizontalSegment;573,004981998354;896,168100999668;4,59847002616456;0;0;154,948149;LINE
H6;IfcAlignmentHorizontalSegment;555,391605000943;742,224287999794;4,59847002575342;0;-1486;90;CLOTHOID
H7;IfcAlignmentHorizontalSegment;544,259466998279;652,919107000344;4,56832758584295;-1486;-1486;235,958273;CIRCULARARC
H8;IfcAlignmentHorizontalSegment;491,993758998811;423,07629599981;4,40939985516363;-1486;0;90;CLOTHOID
H9;IfcAlignmentHorizontalSegment;463,412608001381;337,738979999907;4,37911721797334;0;0;316,307118;LINE
